Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,21303.104748000005,51352.104748,30049.0,121
2,20718.092044000008,50356.092044,29638.0,121
3,18561.711526000003,49544.711526000014,30983.0,121
4,22383.199602000008,51582.19960200001,29199.0,121
5,22630.584226000014,52571.584226000006,29941.0,121
6,20035.97546200001,50100.97546200001,30065.0,121
7,22423.238498000013,51784.238498000006,29361.0,121
8,20821.024860000012,51004.024859999976,30183.0,121
10,22049.326654,51214.32665400001,29165.0,121
11,23422.729622000006,52018.72962200002,28596.0,121
12,23334.80869600002,52229.80869599999,28895.0,121
13,22653.01454600002,51063.014546000006,28410.0,121
14,22374.238826000015,50963.23882600002,28589.0,121
15,22822.849002000014,51486.849002,28664.0,121
16,22575.149006000003,51674.14900600003,29099.0,121
17,21647.952460000004,50678.952459999986,29031.0,121
18,25016.511792000005,52225.511792,27209.0,121
19,22656.027892000016,50990.027891999984,28334.0,121
20,21490.038320000007,50136.03831999996,28646.0,121
21,24544.068762000006,52125.06876199998,27581.0,121
22,24031.27732800001,51900.277328000004,27869.0,121
23,22971.075328000006,51578.07532800004,28607.0,121
24,20851.819988000025,50249.81998799997,29398.0,121
25,20589.232074000014,49695.23207400003,29106.0,121
26,22069.97994000001,50481.97993999999,28412.0,121
27,23310.94075800001,51848.940758,28538.0,121
28,20506.548884000007,49794.54888400001,29288.0,121
29,22097.524502,50763.524502000015,28666.0,121
30,22861.34907400001,51368.34907399997,28507.0,121
31,24304.966499999995,52652.966500000024,28348.0,121
32,23533.484292000016,51643.484291999994,28110.0,121
33,23209.242012000013,51757.242011999995,28548.0,121
34,20521.31837800001,49742.31837800002,29221.0,121
35,20666.088120000004,49189.08812000001,28523.0,121
36,21953.764328000005,50704.76432800001,28751.0,121
37,24488.713760000002,52083.713759999984,27595.0,121
38,22299.323290000015,50991.323289999986,28692.0,121
39,21720.825542000006,50623.825541999984,28903.0,121
40,23052.151680000006,50947.151679999995,27895.0,121
41,21716.10683800001,50495.10683800001,28779.0,121
43,23520.981134000005,51426.98113399999,27906.0,121
44,20313.192074000006,49887.192074000006,29574.0,121
46,22921.64133400002,51598.641334,28677.0,121
47,23537.97497800002,51806.974977999984,28269.0,121
48,22174.167028000014,50661.16702799999,28487.0,121
50,22367.004369999988,51030.00436999999,28663.0,121
51,21033.816580000013,50416.81658,29383.0,121
52,21078.760394000023,50352.76039399998,29274.0,121
53,23738.664833999992,51987.66483399999,28249.0,121
54,21677.605090000012,50391.605090000005,28714.0,121
55,22356.457416000005,51169.45741600002,28813.0,121
56,22841.15144000001,50902.151439999994,28061.0,121
57,20535.493692000022,49734.49369199999,29199.0,121
58,23501.234742000004,51416.23474200002,27915.0,121
59,25344.64665800001,53135.646657999976,27791.0,121
60,21247.86218800001,50572.862188000014,29325.0,121
61,23971.777765999996,51915.77776599999,27944.0,121
62,21391.110734000013,49917.11073399998,28526.0,121
64,23300.706737999997,51782.70673799997,28482.0,121
65,21829.388414000012,50826.388414000045,28997.0,121
66,23418.62095000001,52084.62095000003,28666.0,121
67,20409.952160000015,50101.95215999998,29692.0,121
68,20270.37311800001,49914.373118,29644.0,121
69,24387.586382000016,52438.586381999994,28051.0,121
70,22860.679932,51405.67993199999,28545.0,121
72,25598.980102000016,52591.980101999936,26993.0,121
73,23020.805710000026,51620.80570999999,28600.0,121
74,21557.013082000005,50113.01308200003,28556.0,121
75,23271.644408000004,51582.644408,28311.0,121
76,23652.77399600001,51695.77399599999,28043.0,121
78,21900.94162400001,50750.94162399999,28850.0,121
79,26458.42072400001,53987.420723999974,27529.0,121
80,22155.09105000001,50474.091049999995,28319.0,121
81,21983.320772000006,51110.320771999985,29127.0,121
82,21429.434368,50276.43436800002,28847.0,121
83,21826.952315999995,50601.95231600002,28775.0,121
84,22037.402444000007,51285.402443999985,29248.0,121
86,20023.667832000003,49985.667832,29962.0,121
87,25096.717328000006,52501.71732800001,27405.0,121
88,25218.095441999994,52508.09544199999,27290.0,121
90,20796.752422000005,50257.75242200003,29461.0,121
91,20650.51447000002,50257.51446999999,29607.0,121
92,24478.282362000024,51959.282362000005,27481.0,121
93,22903.055614,51210.05561400002,28307.0,121
95,22994.69008000001,51523.690080000015,28529.0,121
96,21559.035516000004,50864.035515999996,29305.0,121
97,23910.24748600001,51754.24748600001,27844.0,121
98,24011.280038000004,51834.28003799998,27823.0,121
100,22986.57326400001,51208.573264,28222.0,121
